Name,Composition,Fractional Abundance,Cumulative Abundance
A2G2/A2G2,"10 Hex, 8 HexNAc, 0 Fuc",64.29483888344933,64.29483888344933
A2G2/A3G3,"11 Hex, 9 HexNAc, 0 Fuc",14.44201355939928,78.73685244284862
A2G2F/M7,"12 Hex, 6 HexNAc, 1 Fuc",4.973973682705244,83.71082612555385
A2G2F/A2G2,"10 Hex, 8 HexNAc, 1 Fuc",2.880856152738933,86.5916822782928
A1G1/A2G2F,"9 Hex, 7 HexNAc, 1 Fuc",1.9517120851192646,88.54339436341205
A1G1/A2G2,"9 Hex, 7 HexNAc, 0 Fuc",1.561446012807751,90.1048403762198
M5-A1G1/A2G2,"11 Hex, 7 HexNAc, 0 Fuc",1.503007605726293,91.6078479819461
A3G3/A3G3,"12 Hex, 10 HexNAc, 0 Fuc",0.9282822977606883,92.53613027970678
M5-A1G1/A2G1,"10 Hex, 7 HexNAc, 0 Fuc",0.9196067622675975,93.45573704197439
A2G2F/A2G1,"9 Hex, 8 HexNAc, 1 Fuc",0.8168305851261182,94.2725676271005
M5/A2G2,"10 Hex, 6 HexNAc, 0 Fuc",0.6196009612261979,94.8921685883267
A1G1/A3G3,"10 Hex, 8 HexNAc, 0 Fuc",0.5910526657636013,95.4832212540903
A2G2F/A1G1F,"9 Hex, 7 HexNAc, 2 Fuc",0.5785309762019073,96.0617522302922
A3G3F/M7,"13 Hex, 7 HexNAc, 1 Fuc",0.5783690328727029,96.64012126316491
A2G2F/A2G2F,"10 Hex, 8 HexNAc, 2 Fuc",0.4044534646878812,97.04457472785279
A2G2F/A3G3,"11 Hex, 9 HexNAc, 1 Fuc",0.3760902473158038,97.42066497516859
A3G3F/A2G2,"11 Hex, 9 HexNAc, 1 Fuc",0.37496242770170196,97.7956274028703
A2G2/A3G3+LacN1 or A4G4,"12 Hex, 10 HexNAc, 0 Fuc",0.2252169014006305,98.02084430427092
A2G2/A1G1F,"9 Hex, 7 HexNAc, 1 Fuc",0.1940370268384631,98.2148813311094
M5-A1G1/A2G2F,"11 Hex, 7 HexNAc, 1 Fuc",0.18766918378653463,98.40255051489592
M5/A3G3,"11 Hex, 7 HexNAc, 0 Fuc",0.17410064627534103,98.57665116117127
M7/M7,"14 Hex, 4 HexNAc, 0 Fuc",0.17351070986181089,98.75016187103307
M6/M5-A1G1,"12 Hex, 5 HexNAc, 0 Fuc",0.17295547559025307,98.92311734662333
M6/A3G3,"12 Hex, 7 HexNAc, 0 Fuc",0.1345749065688205,99.05769225319214
M6/M7,"13 Hex, 4 HexNAc, 0 Fuc",0.11567380657454057,99.17336605976669
unmodified/A2G2,"5 Hex, 4 HexNAc, 0 Fuc",0.11567380657454057,99.28903986634123
M6/A2G2,"11 Hex, 6 HexNAc, 0 Fuc",0.10080972242971213,99.38984958877094
M5/A2G2F,"10 Hex, 6 HexNAc, 1 Fuc",0.07062464260408577,99.46047423137503
M7/A1G1F,"11 Hex, 5 HexNAc, 1 Fuc",0.05839213755882808,99.51886636893386
A2G1/A1G1F,"8 Hex, 7 HexNAc, 1 Fuc",0.057987279235817195,99.57685364816967
A2G1/A2G2,"9 Hex, 8 HexNAc, 0 Fuc",0.057836903287270286,99.63469055145694
M7/A3G3,"13 Hex, 7 HexNAc, 0 Fuc",0.057836903287270286,99.69252745474421
M5/A2G1,"9 Hex, 6 HexNAc, 0 Fuc",0.0569172965250027,99.74944475126922
A3G3F+LacN1/A3G3,"13 Hex, 11 HexNAc, 1 Fuc",0.056182767853254365,99.80562751912247
M7/A2G2,"12 Hex, 6 HexNAc, 0 Fuc",0.05222672366840507,99.85785424279088
A3G3F+LacN1/A2G2,"12 Hex, 10 HexNAc, 1 Fuc",0.03387507425535421,99.89172931704623
M5/A3G3F,"11 Hex, 7 HexNAc, 1 Fuc",0.02477732936826659,99.9165066464145
A3G3F/A3G3,"12 Hex, 10 HexNAc, 1 Fuc",0.0224465021657896,99.93895314858028
M5-A1G1/A1G1,"10 Hex, 6 HexNAc, 0 Fuc",0.015459804248687349,99.95441295282897
A2G1/A3G3F,"10 Hex, 9 HexNAc, 1 Fuc",0.011428572089564609,99.96584152491855
A1G1/A3G3F,"10 Hex, 8 HexNAc, 1 Fuc",0.010699827108145004,99.97654135202669
A1G1/A3G3+LacN1 or A4G4,"11 Hex, 9 HexNAc, 0 Fuc",0.005783690328727029,99.98232504235541
M5-A1G1/M5-A1G1,"12 Hex, 6 HexNAc, 0 Fuc",0.004268363462600547,99.98659340581801
A3G3F+LacN1/A2G1,"11 Hex, 10 HexNAc, 1 Fuc",0.0032388665840871367,99.9898322724021
A3G3F/A3G3+LacN1 or A4G4,"13 Hex, 11 HexNAc, 1 Fuc",0.0016541354340159301,99.99148640783612
A2G2F/A3G3+LacN1 or A4G4,"12 Hex, 10 HexNAc, 1 Fuc",0.0015153268661264817,99.99300173470225
A2G1/M7,"11 Hex, 6 HexNAc, 0 Fuc",0.0014459225821817573,99.99444765728443
M6/A2G2F,"11 Hex, 6 HexNAc, 1 Fuc",0.0013360324659359437,99.99578368975035
M6/A2G1,"10 Hex, 6 HexNAc, 0 Fuc",0.0011451706850879517,99.99692886043545
A1G1/A1G1F,"8 Hex, 6 HexNAc, 1 Fuc",9.196067622675978e-4,99.99784846719771
A3G3F+LacN1/A1G1,"11 Hex, 9 HexNAc, 1 Fuc",8.270677170079653e-4,99.99867553491472
M5-A1G1/A1G1F,"10 Hex, 6 HexNAc, 1 Fuc",6.304222458312463e-4,99.99930595716056
A3G3F/A1G1F,"10 Hex, 8 HexNAc, 2 Fuc",4.048583230108921e-4,99.99971081548357
A3G3/A1G1F,"10 Hex, 8 HexNAc, 1 Fuc",2.891845164363515e-4,100
A1G1/A1G1,"8 Hex, 6 HexNAc, 0 Fuc",0,100
A1G1/M7,"11 Hex, 5 HexNAc, 0 Fuc",0,100
A2G1/A2G1,"8 Hex, 8 HexNAc, 0 Fuc",0,100
A3G3/A3G3+LacN1 or A4G4,"13 Hex, 11 HexNAc, 0 Fuc",0,100
A3G3F+LacN1/unmodified,"7 Hex, 6 HexNAc, 1 Fuc",0,100
M5/A1G1,"9 Hex, 5 HexNAc, 0 Fuc",0,100
M5/A1G1F,"9 Hex, 5 HexNAc, 1 Fuc",0,100
M5/M5-A1G1,"11 Hex, 5 HexNAc, 0 Fuc",0,100
M5/M6,"11 Hex, 4 HexNAc, 0 Fuc",0,100
M6/A1G1,"10 Hex, 5 HexNAc, 0 Fuc",0,100
M6/A1G1F,"10 Hex, 5 HexNAc, 1 Fuc",0,100
