Name,Composition,Fractional Abundance,Cumulative Abundance
A2G2/A2G2,"10 Hex, 8 HexNAc, 0 Fuc",65.51718165812532,65.51718165812532
A2G2/A3G3,"11 Hex, 9 HexNAc, 0 Fuc",14.925780351977194,80.44296201010252
A1G1/A2G2F,"9 Hex, 7 HexNAc, 1 Fuc",2.9947646363964413,83.43772664649896
A2G2F/A2G2,"10 Hex, 8 HexNAc, 1 Fuc",2.6570354038883615,86.09476205038732
A1G1/A2G2,"9 Hex, 7 HexNAc, 0 Fuc",1.9573004816857174,88.05206253207304
M5-A1G1/A2G2,"11 Hex, 7 HexNAc, 0 Fuc",1.660383929827575,89.71244646190061
M5-A1G1/A2G1,"10 Hex, 7 HexNAc, 0 Fuc",1.3315337240500509,91.04398018595066
A2G2F/A2G1,"9 Hex, 8 HexNAc, 1 Fuc",1.0646528377654132,92.10863302371608
A3G3/A3G3,"12 Hex, 10 HexNAc, 0 Fuc",0.940892135187067,93.04952515890314
M5/A2G2,"10 Hex, 6 HexNAc, 0 Fuc",0.865304749312513,93.91482990821565
A2G2F2/A2G1,"9 Hex, 8 HexNAc, 2 Fuc",0.6535011123397951,94.56833102055545
A1G1/A3G3,"10 Hex, 8 HexNAc, 0 Fuc",0.6155887951309008,95.18391981568635
A2G2F/M7,"12 Hex, 6 HexNAc, 1 Fuc",0.5837500406288131,95.76766985631517
unmodified/A2G2,"5 Hex, 4 HexNAc, 0 Fuc",0.47449708646926486,96.24216694278444
A2G2F2/A2G2,"10 Hex, 8 HexNAc, 2 Fuc",0.3662168513369786,96.60838379412141
A3G3F/A2G2,"11 Hex, 9 HexNAc, 1 Fuc",0.3364599528017749,96.94484374692318
A2G2F/A3G3,"11 Hex, 9 HexNAc, 1 Fuc",0.315060134202011,97.2599038811252
A2G2/A3G3+LacN1 or A4G4,"12 Hex, 10 HexNAc, 0 Fuc",0.3024207180611859,97.56232459918638
A3G3F/M7,"13 Hex, 7 HexNAc, 1 Fuc",0.29656067904329053,97.85888527822968
M6/A2G2,"11 Hex, 6 HexNAc, 0 Fuc",0.263701755805294,98.12258703403496
A2G1/A2G1,"8 Hex, 8 HexNAc, 0 Fuc",0.23577167105299685,98.35835870508797
A2G2F2/A1G1,"9 Hex, 7 HexNAc, 2 Fuc",0.17879643339519985,98.53715513848316
M5/A2G1,"9 Hex, 6 HexNAc, 0 Fuc",0.17766950281483535,98.714824641298
M5/A3G3,"11 Hex, 7 HexNAc, 0 Fuc",0.17726024907775562,98.89208489037576
M6/M5-A1G1,"12 Hex, 5 HexNAc, 0 Fuc",0.11862427161731622,99.01070916199306
A2G2F/A2G2F,"10 Hex, 8 HexNAc, 2 Fuc",0.10828023513228624,99.11898939712536
A2G1/A3G3F,"10 Hex, 9 HexNAc, 1 Fuc",0.0709195207864125,99.18990891791177
A2G2F2/A2G2F,"10 Hex, 8 HexNAc, 3 Fuc",0.05931213580865811,99.24922105372043
A2G2F2/M5,"10 Hex, 6 HexNAc, 2 Fuc",0.05931213580865811,99.30853318952909
M5/A1G1,"9 Hex, 5 HexNAc, 0 Fuc",0.05931213580865811,99.36784532533774
M5/M5,"10 Hex, 4 HexNAc, 0 Fuc",0.05931213580865811,99.42715746114641
